LAT,LON,averageSignal,radio,Network,MCC,MNC,TAC,CID,RANGE
33.436203,-5.213013,0,GSM,IAM,604,1,364,13825,1000
35.063556,-5.536427,0,GSM,IAM,604,1,55,23985,2895
31.915969848633,-4.4666290283203,0,GSM,IAM,604,1,367,13724,1000
31.915969848633,-4.4666290283203,0,GSM,IAM,604,1,367,11724,1000
31.915969848633,-4.4666290283203,0,GSM,IAM,604,1,367,13478,1000
34.253311157227,-6.5801239013672,0,GSM,IAM,604,1,390,20138,1000
35.089291,-6.193274,0,GSM,IAM,604,1,68,24204,29379
35.077136,-6.19699,0,GSM,IAM,604,1,68,53866,27995
35.072142,-6.185442,0,GSM,IAM,604,1,68,53867,27599
35.126918,-6.168003,0,GSM,IAM,604,1,68,21651,19471
35.119688,-6.174265,0,GSM,IAM,604,1,68,24203,35107
35.09695,-6.187301,0,GSM,IAM,604,1,68,54095,17753
35.110848,-6.176815,0,GSM,IAM,604,1,68,21634,30677
35.126939,-6.165967,0,GSM,IAM,604,1,68,21624,22940
35.089889,-6.191565,0,GSM,IAM,604,1,68,23962,6494
35.167933,-6.132288,0,GSM,IAM,604,1,68,54096,18890
35.176476,-6.124677,0,GSM,IAM,604,1,68,21650,12772
35.121042,-6.170912,0,GSM,IAM,604,1,68,21628,15701
35.192081,-6.125068,0,GSM,IAM,604,1,68,21649,26730
35.158923,-6.147455,0,GSM,IAM,604,1,68,22314,19049
35.167238,-6.139163,0,GSM,IAM,604,1,68,21652,6638
35.154116,-6.150368,0,GSM,IAM,604,1,68,21654,19639
35.160837,-6.147447,0,GSM,IAM,604,1,68,54847,11416
35.161182,-6.140324,0,GSM,IAM,604,1,68,22313,19920
35.116596,-6.172037,0,GSM,IAM,604,1,68,54872,14545
35.15209,-6.144328,0,GSM,IAM,604,1,68,52529,20963
35.270308,-6.074177,0,GSM,IAM,604,1,68,21609,26098
35.089951,-6.196901,0,GSM,IAM,604,1,68,52714,4840
35.16078,-6.145959,0,GSM,IAM,604,1,68,22312,11339
35.342151,-6.05424,0,GSM,IAM,604,1,68,52710,31309
35.327687,-6.04198,0,GSM,IAM,604,1,68,21630,21187
35.461841,-6.002901,0,GSM,IAM,604,1,65,54743,25908
35.501129,-5.992452,0,GSM,IAM,604,1,65,20443,30377
35.621871,-5.926294,0,GSM,IAM,604,1,65,20316,16201
35.625657,-5.916943,0,GSM,IAM,604,1,65,20022,25194
35.568375,-5.946437,0,GSM,IAM,604,1,65,20305,25728
35.661369,-5.799395,0,GSM,IAM,604,1,58,24072,30914
35.732609,-5.677038,0,GSM,IAM,604,1,58,53447,27958
35.672625,-5.790617,0,GSM,IAM,604,1,58,50005,25565
35.691306,-5.749819,0,GSM,IAM,604,1,65,23954,20201
35.767854,-5.615407,0,GSM,IAM,604,1,51,24981,26107
35.76463,-5.609826,0,GSM,IAM,604,1,51,20751,18712
35.751216,-5.622079,0,GSM,IAM,604,1,51,24980,20370
35.744062,-5.636448,0,GSM,IAM,604,1,51,50011,23949
35.779517,-5.600983,0,GSM,IAM,604,1,51,52652,20293
35.885073,-5.499352,0,GSM,IAM,604,1,51,24134,17827
35.886419,-5.497546,0,GSM,IAM,604,1,51,20371,18045
35.884224,-5.501548,0,GSM,IAM,604,1,51,20676,17632
35.883407592773,-5.4938507080078,0,GSM,IAM,604,1,2907,12112,1000
35.885956,-5.498215,0,GSM,IAM,604,1,51,20675,17967
35.88812,-5.490667,0,GSM,IAM,604,1,51,52658,7313
35.889878,-5.490054,0,GSM,IAM,604,1,51,24214,12472
35.885034,-5.498917,0,GSM,IAM,604,1,51,51547,17847
35.88959,-5.487641,0,GSM,IAM,604,1,51,24215,13865
35.204302,-6.115301,0,GSM,IAM,604,1,68,54814,24375
35.235585,-6.108202,0,GSM,IAM,604,1,68,21656,29860
35.086444,-6.193049,0,GSM,IAM,604,1,37,20047,29068
35.228277,-6.091118,0,GSM,IAM,604,1,68,54871,21139
35.494599,-5.994392,0,GSM,IAM,604,1,65,20323,24799
35.39273,-6.021279,0,GSM,IAM,604,1,68,20446,27345
35.60035,-5.924897,0,GSM,IAM,604,1,65,51614,27721
35.592054,-5.928029,0,GSM,IAM,604,1,65,20451,27562
35.609148,-5.907203,0,GSM,IAM,604,1,65,20450,24521
35.64719,-5.900283,0,GSM,IAM,604,1,65,20331,27987
35.536636,-5.963369,0,GSM,IAM,604,1,65,20351,25933
35.694183,-5.743961,0,GSM,IAM,604,1,58,50003,22633
35.759516,-5.620406,0,GSM,IAM,604,1,51,52651,25267
35.749473,-5.62694,0,GSM,IAM,604,1,51,20752,24232
35.87304,-5.519192,0,GSM,IAM,604,1,51,20433,24903
35.858528,-5.530836,0,GSM,IAM,604,1,51,20449,23662
35.83123,-5.549769,0,GSM,IAM,604,1,51,20434,12695
35.10805,-6.186275,0,GSM,IAM,604,1,68,22479,8960
35.191959,-6.121449,0,GSM,IAM,604,1,68,21625,2813
35.315554,-6.027037,0,GSM,IAM,604,1,68,21596,5208
35.234204,-6.086846,0,GSM,IAM,604,1,68,54094,19328
35.193413,-6.096456,0,GSM,IAM,604,1,68,21620,20881
35.351814,-6.038693,0,GSM,IAM,604,1,68,21638,27948
35.382806,-6.032929,0,GSM,IAM,604,1,68,21607,25104
35.343917,-6.043693,0,GSM,IAM,604,1,68,21608,24369
35.268876,-6.081717,0,GSM,IAM,604,1,68,21616,15341
35.419752,-6.020693,0,GSM,IAM,604,1,68,54768,15639
35.462796,-5.999233,0,GSM,IAM,604,1,68,20447,32704
35.505722,-5.990877,0,GSM,IAM,604,1,65,54742,25058
35.467596,-6.004926,0,GSM,IAM,604,1,65,23921,21653
35.544577,-5.950684,0,GSM,IAM,604,1,65,23922,31283
35.644203,-5.867037,0,GSM,IAM,604,1,65,20023,32915
35.595634,-5.921973,0,GSM,IAM,604,1,65,53874,29235
35.693587,-5.74374,0,GSM,IAM,604,1,65,23955,19841
35.744906,-5.670078,0,GSM,IAM,604,1,58,53446,22206
35.706924,-5.678056,0,GSM,IAM,604,1,58,24071,42210
35.849545,-5.535746,0,GSM,IAM,604,1,58,24074,29730
35.759367,-5.617579,0,GSM,IAM,604,1,51,24982,25484
35.799098,-5.594083,0,GSM,IAM,604,1,51,20325,22098
35.872187,-5.519579,0,GSM,IAM,604,1,58,24073,32070
35.870143,-5.520753,0,GSM,IAM,604,1,51,20324,21533
35.883599,-5.493833,0,GSM,IAM,604,1,173,20774,11734
35.878626,-5.509943,0,GSM,IAM,604,1,51,20372,16437
35.87246,-5.520246,0,GSM,IAM,604,1,51,20435,24796
35.834968,-5.550577,0,GSM,IAM,604,1,51,20448,22168
35.810521,-5.578665,0,GSM,IAM,604,1,51,21702,23978
35.790625,-5.588774,0,GSM,IAM,604,1,51,20140,17528
35.79656,-5.581951,0,GSM,IAM,604,1,51,20139,17092
35.687026977539,-5.6861114501953,0,GSM,IAM,604,1,51,20810,1000
35.73735,-5.698333,0,GSM,IAM,604,1,58,20428,22781
35.703392,-5.700573,0,GSM,IAM,604,1,51,50013,20078
35.707418,-5.734117,0,GSM,IAM,604,1,58,20304,18686
35.661792,-5.717965,0,GSM,IAM,604,1,51,20735,16112
35.6577,-5.806309,0,GSM,IAM,604,1,51,20546,21692
35.541092,-5.969801,0,GSM,IAM,604,1,65,20306,24854
35.492201,-5.990571,0,GSM,IAM,604,1,65,20348,24635
35.509989,-5.982675,0,GSM,IAM,604,1,65,20406,23841
35.34782409668,-6.0143280029297,0,GSM,IAM,604,1,160,22744,1000
35.322916,-6.034201,0,GSM,IAM,604,1,68,20327,24548
35.265665,-6.064533,0,GSM,IAM,604,1,68,53968,33448
35.182583,-6.123335,0,GSM,IAM,604,1,68,21660,21352
35.129754,-6.102515,0,GSM,IAM,604,1,68,23980,14349
34.827346801758,-6.2354278564453,0,GSM,IAM,604,1,37,20048,1000
34.824386,-6.264331,0,GSM,IAM,604,1,37,53683,22959
34.845066,-6.24696,0,GSM,IAM,604,1,37,23341,21665
34.792753,-6.276391,0,GSM,IAM,604,1,37,53684,15408
34.853479,-6.285753,0,GSM,IAM,604,1,37,23045,20672
34.685897827148,-6.3837432861328,0,GSM,IAM,604,1,37,23371,1000
34.66295,-6.394565,0,GSM,IAM,604,1,37,53858,19069
34.715062,-6.361062,0,GSM,IAM,604,1,37,52094,25611
34.505996704102,-6.4785003662109,0,GSM,IAM,604,1,52,22136,1000
34.63635,-6.411235,0,GSM,IAM,604,1,37,53859,15749
34.6225,-6.263303,0,GSM,IAM,604,1,52,23603,23582
34.706085,-6.369203,0,GSM,IAM,604,1,37,23163,24394
34.487735,-6.47481,0,GSM,IAM,604,1,37,23101,18886
34.529098,-6.460807,0,GSM,IAM,604,1,37,23772,23645
34.54294,-6.458055,0,GSM,IAM,604,1,37,23521,25203
34.541981,-6.447216,0,GSM,IAM,604,1,37,23522,25311
34.225845336914,-6.5499114990234,0,GSM,IAM,604,1,37,23351,1000
34.121475219727,-6.6872406005859,0,GSM,IAM,604,1,37,23362,1000
34.225845336914,-6.5499114990234,0,GSM,IAM,604,1,91,23221,1000
34.225845336914,-6.5499114990234,0,GSM,IAM,604,1,91,23222,1000
34.225845336914,-6.5499114990234,0,GSM,IAM,604,1,37,23361,1000
34.440515,-6.490136,0,GSM,IAM,604,1,37,23102,28972
34.286042,-6.514669,0,GSM,IAM,604,1,37,23013,7436
34.304816,-6.500842,0,GSM,IAM,604,1,37,23422,10112
34.121475219727,-6.6872406005859,0,GSM,IAM,604,1,37,23021,1000
34.121475219727,-6.6872406005859,0,GSM,IAM,604,1,37,54445,1000
34.220384,-6.599453,0,GSM,IAM,604,1,91,20026,13645
34.220384,-6.599453,0,GSM,IAM,604,1,37,23022,13645
34.121475219727,-6.6872406005859,0,GSM,IAM,604,1,37,23363,1000
33.986892700195,-6.7627716064453,0,GSM,IAM,604,1,47,45219,1000
33.986892700195,-6.7627716064453,0,GSM,IAM,604,1,37,20016,1000
33.986892700195,-6.7627716064453,0,GSM,IAM,604,1,37,50154,1000
34.105021,-6.683232,0,GSM,IAM,604,1,49,46607,15041
34.135072,-6.714579,0,GSM,IAM,604,1,49,48875,17064
33.993543,-6.779728,0,GSM,IAM,604,1,47,49529,12082
34.001347,-6.804718,0,GSM,IAM,604,1,47,49531,10548
33.945693969727,-6.8973541259766,0,GSM,IAM,604,1,60,44722,1000
33.986214,-6.85343,0,GSM,IAM,604,1,49,46637,6059
33.945693969727,-6.8973541259766,0,GSM,IAM,604,1,60,45632,1000
33.938649,-6.903771,0,GSM,IAM,604,1,5,48582,14867
33.94006,-6.905312,0,GSM,IAM,604,1,5,45095,14847
33.924476,-6.903633,0,GSM,IAM,604,1,4,46653,14000
33.791885375977,-7.1981048583984,0,GSM,IAM,604,1,28,23534,1000
33.791885375977,-7.1981048583984,0,GSM,IAM,604,1,28,23536,1000
33.791885375977,-7.1981048583984,0,GSM,IAM,604,1,28,23535,1000
33.849809,-7.054158,0,GSM,IAM,604,1,28,20191,14775
33.791885375977,-7.1981048583984,0,GSM,IAM,604,1,171,49065,1000
33.789182,-7.178753,0,GSM,IAM,604,1,28,20813,22767
33.772673,-7.211586,0,GSM,IAM,604,1,28,20188,19227
33.673782348633,-7.3821258544922,0,GSM,IAM,604,1,28,23516,1000
33.673782348633,-7.3821258544922,0,GSM,IAM,604,1,28,20812,1000
33.782422,-7.189423,0,GSM,IAM,604,1,28,20223,21529
33.673782348633,-7.3821258544922,0,GSM,IAM,604,1,28,20630,1000
33.673782348633,-7.3821258544922,0,GSM,IAM,604,1,28,20230,1000
33.642911,-7.453573,0,GSM,IAM,604,1,67,53265,8707
33.605117797852,-7.5359344482422,0,GSM,IAM,604,1,67,20844,1000
33.605117797852,-7.5359344482422,0,GSM,IAM,604,1,67,53266,1000
33.605117797852,-7.5359344482422,0,GSM,IAM,604,1,67,53264,1000
33.605117797852,-7.5359344482422,0,GSM,IAM,604,1,67,54667,1000
33.604571,-7.544724,0,GSM,IAM,604,1,57,53225,4940
33.603198,-7.54802,0,GSM,IAM,604,1,57,20134,4621
33.599624633789,-7.5977325439453,0,GSM,IAM,604,1,57,50044,1000
33.59934,-7.530192,0,GSM,IAM,604,1,57,21926,6255
33.599624633789,-7.5977325439453,0,GSM,IAM,604,1,57,52425,1000
33.607309,-7.528937,0,GSM,IAM,604,1,57,21924,6428
33.598938,-7.602539,0,GSM,IAM,604,1,206,40098,1000
35.100272,-6.187042,0,GSM,IAM,604,1,68,24205,34584
33.595504760742,-7.6004791259766,0,GSM,IAM,604,1,206,40267,1000
33.595504760742,-7.6004791259766,0,GSM,IAM,604,1,206,40662,1000
33.591386,-7.616273,0,GSM,IAM,604,1,206,40100,1533
33.591386,-7.616273,0,GSM,IAM,604,1,206,40209,1533
33.591386,-7.616273,0,GSM,IAM,604,1,188,40118,1533
33.595504760742,-7.6004791259766,0,GSM,IAM,604,1,206,40099,1000
33.599624633789,-7.6142120361328,0,GSM,IAM,604,1,65486,40268,1000
33.599624633789,-7.6142120361328,0,GSM,IAM,604,1,206,40269,1000
33.599624633789,-7.6142120361328,0,GSM,IAM,604,1,206,40252,1000
33.599624633789,-7.6142120361328,0,GSM,IAM,604,1,206,40056,1000
33.599624633789,-7.6142120361328,0,GSM,IAM,604,1,206,40055,1000
