LAT,LON,averageSignal,radio,Network,MCC,MNC,TAC,CID,RANGE
33.711319,-7.352829,0,LTE,IAM,604,1,4011,51414529,1000
32.283463,-9.227554,0,LTE,IAM,604,1,4122,102482691,1000
32.283154,-9.228344,0,LTE,IAM,604,1,4122,102482690,1000
33.570557,-7.64328,0,LTE,IAM,604,1,4071,51267585,1000
33.580523,-7.630829,0,LTE,IAM,604,1,4301,51286787,1759
33.572551,-7.642266,0,LTE,IAM,604,1,4301,51299074,1000
33.572502,-7.643738,0,LTE,IAM,604,1,4301,51299075,1000
33.572845,-7.641907,0,LTE,IAM,604,1,4301,51299073,1000
33.568863,-7.644424,0,LTE,IAM,604,1,4071,51267587,1000
33.582459,-7.633095,0,LTE,IAM,604,1,4101,51251458,1791
33.58105,-7.633722,0,LTE,IAM,604,1,4301,51287809,1632
34.043197631836,-5.0118255615234,0,LTE,IAM,604,1,4351,153605642,1000
33.569319,-7.611452,0,LTE,IAM,604,1,4501,51283458,1000
35.621273,-5.273522,0,LTE,IAM,604,1,4221,76830980,1000
35.621333,-5.273576,0,LTE,IAM,604,1,4221,76832770,1000
33.933216,-6.888431,0,LTE,IAM,604,1,4201,25761026,1000
33.967118,-6.870322,0,LTE,IAM,604,1,4171,25640452,1099
33.958546,-6.870323,0,LTE,IAM,604,1,4171,25640450,1000
33.959164,-6.868615,0,LTE,IAM,604,1,4171,25663235,1000
33.958849,-6.873207,0,LTE,IAM,604,1,4171,25640451,1000
33.957589,-6.870094,0,LTE,IAM,604,1,4171,25663234,1000
31.917343139648,-4.4295501708984,0,LTE,IAM,604,1,4363,155190558,1000
33.898379,-5.551118,0,LTE,IAM,604,1,4361,154125372,1000
35.04020690918,-6.0404205322266,0,LTE,IAM,604,1,4831,76942849,1000
31.532821655273,-8.4862518310547,0,LTE,IAM,604,1,255,102573570,1000
31.56852722168,-8.4285736083984,0,LTE,IAM,604,1,255,102514689,1000
32.88152,-6.920106,0,LTE,IAM,604,1,4681,180506890,1000
32.76741027832,-8.1552886962891,0,LTE,IAM,604,1,4611,179234305,1000
34.301376342773,-6.4936065673828,0,LTE,IAM,604,1,255,25623297,1000
34.256057739258,-6.5856170654297,0,LTE,IAM,604,1,255,25812226,1000
33.579025268555,-7.6169586181641,0,LTE,IAM,604,1,255,51228162,1000
34.254684448242,-6.5897369384766,0,LTE,IAM,604,1,255,25810950,1000
33.572158813477,-7.5867462158203,0,LTE,IAM,604,1,255,51228418,1000
33.587265014648,-7.6169586181641,0,LTE,IAM,604,1,255,51218947,1000
34.251937866211,-6.6020965576172,0,LTE,IAM,604,1,255,25812230,1000
33.566665649414,-7.4741363525391,0,LTE,IAM,604,1,255,51235585,1000
34.258804321289,-6.6226959228516,0,LTE,IAM,604,1,255,25623809,1000
34.24919128418,-6.5911102294922,0,LTE,IAM,604,1,255,25806850,1000
34.256057739258,-6.5883636474609,0,LTE,IAM,604,1,255,25812227,1000
34.254684448242,-6.6034698486328,0,LTE,IAM,604,1,255,25612546,1000
34.257431030273,-6.6213226318359,0,LTE,IAM,604,1,255,25618945,1000
33.584518432617,-7.5798797607422,0,LTE,IAM,604,1,255,51203844,1000
34.256057739258,-6.5869903564453,0,LTE,IAM,604,1,255,25826049,1000
34.250564575195,-6.6117095947266,0,LTE,IAM,604,1,255,25623810,1000
34.260177612305,-6.5801239013672,0,LTE,IAM,604,1,255,25612801,1000
34.27116394043,-6.6007232666016,0,LTE,IAM,604,1,255,25624577,1000
34.251937866211,-6.5856170654297,0,LTE,IAM,604,1,255,25810690,1000
33.559799194336,-7.6444244384766,0,LTE,IAM,604,1,255,51204611,1000
34.253311157227,-6.5952301025391,0,LTE,IAM,604,1,255,25806594,1000
34.797134399414,-5.5666351318359,0,LTE,IAM,604,1,255,27908894,1000
34.273910522461,-6.6007232666016,0,LTE,IAM,604,1,255,25804802,1000
34.254684448242,-6.5869903564453,0,LTE,IAM,604,1,255,25808385,1000
33.98551940918,-6.7971038818359,0,LTE,IAM,604,1,255,25668098,1000
34.033584594727,-5.0049591064453,0,LTE,IAM,604,1,1,1556,1000
33.557052612305,-7.6856231689453,0,LTE,IAM,604,1,255,51232769,1000
33.50212097168,-7.6293182373047,0,LTE,IAM,604,1,255,51227650,1000
33.893508911133,-6.9921112060547,0,LTE,IAM,604,1,255,25604097,1000
34.253311157227,-6.5966033935547,0,LTE,IAM,604,1,255,25611779,1000
34.784774780273,-5.5542755126953,0,LTE,IAM,604,1,255,27909898,1000
33.533706665039,-7.6966094970703,0,LTE,IAM,604,1,255,51201028,1000
33.526840209961,-7.6334381103516,0,LTE,IAM,604,1,255,51201025,1000
34.253311157227,-6.6075897216797,0,LTE,IAM,604,1,255,25776898,1000
34.275283813477,-6.6020965576172,0,LTE,IAM,604,1,255,25618690,1000
33.518600463867,-7.6389312744141,0,LTE,IAM,604,1,255,51237379,1000
34.254684448242,-6.5938568115234,0,LTE,IAM,604,1,255,25806598,1000
33.981399536133,-6.7366790771484,0,LTE,IAM,604,1,255,25724162,1000
34.250564575195,-6.6075897216797,0,LTE,IAM,604,1,255,25618947,1000
34.040451049805,-5.0035858154297,0,LTE,IAM,604,1,1,532,1000
34.251937866211,-6.5924835205078,0,LTE,IAM,604,1,255,25810691,1000
34.269790649414,-6.6007232666016,0,LTE,IAM,604,1,255,25624579,1000
34.040451049805,-5.0077056884766,0,LTE,IAM,604,1,1,25602060,1000
33.584518432617,-7.6238250732422,0,LTE,IAM,604,1,255,51236353,1000
33.594131469727,-7.5455474853516,0,LTE,IAM,604,1,255,51211009,1000
34.802627563477,-5.5762481689453,0,LTE,IAM,604,1,255,27908884,1000
33.591384887695,-7.6773834228516,0,LTE,IAM,604,1,255,51202822,1000
34.250564575195,-6.6089630126953,0,LTE,IAM,604,1,255,25626883,1000
33.576278686523,-7.6403045654297,0,LTE,IAM,604,1,255,51236354,1000
34.256057739258,-6.5869903564453,0,LTE,IAM,604,1,255,25611778,1000
33.513107299805,-7.6512908935547,0,LTE,IAM,604,1,255,51230723,1000
33.944320678711,-6.8808746337891,0,LTE,IAM,604,1,255,25634822,1000
33.574905395508,-7.6430511474609,0,LTE,IAM,604,1,255,51228931,1000
34.260177612305,-6.5897369384766,0,LTE,IAM,604,1,255,25812229,1000
34.253311157227,-6.6103363037109,0,LTE,IAM,604,1,255,25617666,1000
33.552932739258,-7.6911163330078,0,LTE,IAM,604,1,255,51233537,1000
34.258804321289,-6.6213226318359,0,LTE,IAM,604,1,255,25612291,1000
34.254684448242,-6.6226959228516,0,LTE,IAM,604,1,255,25624065,1000
33.573532104492,-7.6238250732422,0,LTE,IAM,604,1,255,51204358,1000
34.254684448242,-6.6130828857422,0,LTE,IAM,604,1,255,25622785,1000
34.24919128418,-6.5979766845703,0,LTE,IAM,604,1,255,25612805,1000
33.98551940918,-6.7971038818359,0,LTE,IAM,604,1,255,25687041,1000
34.260177612305,-6.6117095947266,0,LTE,IAM,604,1,255,25626882,1000
34.254684448242,-6.5966033935547,0,LTE,IAM,604,1,255,25617665,1000
